customer_id,first_name,last_name,email,city,customer_segment,join_date
CUST-000001,Yusuf,Al-Zaabi,yusuf.alzaabi_572@outlook.com,Dubai,Regular,2024-09-13 00:00:00
CUST-000002,Mohammed,Al-Qasimi,mohammed.alqasimi_824@hotmail.com,Sharjah,Regular,2024-09-20 00:00:00
CUST-000003,Saeed,Al-Mualla,saeed.almualla_632@outlook.com,Sharjah,New,2024-09-29 00:00:00
CUST-000004,Tariq,Al-Sharqi,tariq.alsharqi_18@outlook.com,Abu Dhabi,New,2024-10-25 00:00:00
CUST-000005,Ahmed,Al-Hussein,ahmed.alhussein_991@icloud.com,Sharjah,Premium,2024-09-02 00:00:00
CUST-000006,Saeed,Al-Zaabi,saeed.alzaabi_152@yahoo.com,Dubai,Regular,2024-04-07 00:00:00
CUST-000007,Khalid,Al-Rashid,khalid.alrashid_708@yahoo.com,Abu Dhabi,Regular,2024-08-29 00:00:00
CUST-000008,Mohammed,Al-Balushi,mohammed.albalushi_213@icloud.com,Abu Dhabi,Regular,2024-07-11 00:00:00
CUST-000009,Aisha,Al-Ahmad,aisha.alahmad_351@icloud.com,Abu Dhabi,New,2024-12-14 00:00:00
CUST-000010,Hassan,Al-Hussein,hassan.alhussein_981@yahoo.com,Abu Dhabi,Regular,2024-06-01 00:00:00
CUST-000011,Sara,Al-Balushi,sara.albalushi_325@hotmail.com,Abu Dhabi,New,2024-05-20 00:00:00
CUST-000012,Tariq,Al-Farsi,tariq.alfarsi_918@hotmail.com,Abu Dhabi,New,2024-05-28 00:00:00
CUST-000013,Ali,Al-Mualla,ali.almualla_672@outlook.com,Sharjah,Regular,2024-10-02 00:00:00
CUST-000014,Hana,Al-Balushi,hana.albalushi_112@icloud.com,Sharjah,Regular,2024-12-08 00:00:00
CUST-000015,Layla,Al-Farsi,layla.alfarsi_103@hotmail.com,Abu Dhabi,Premium,2024-03-11 00:00:00
CUST-000016,Hana,Al-Qasimi,hana.alqasimi_958@hotmail.com,Abu Dhabi,Regular,2024-05-27 00:00:00
CUST-000017,Mohammed,Al-Zaabi,mohammed.alzaabi_588@yahoo.com,Sharjah,New,2024-01-20 00:00:00
CUST-000018,Aisha,Al-Rashid,aisha.alrashid_181@gmail.com,Abu Dhabi,Regular,2024-05-28 00:00:00
CUST-000019,Ahmed,Al-Sharqi,ahmed.alsharqi_110@outlook.com,Abu Dhabi,Regular,2024-09-25 00:00:00
CUST-000020,Fatima,Al-Mazrouei,fatima.almazrouei_280@yahoo.com,Dubai,Regular,2024-11-27 00:00:00
CUST-000021,Aisha,Al-Maktoum,aisha.almaktoum_810@outlook.com,Sharjah,Regular,2024-11-08 00:00:00
CUST-000022,Maryam,Al-Mazrouei,maryam.almazrouei_336@gmail.com,Abu Dhabi,Regular,2024-03-12 00:00:00
CUST-000023,Layla,Al-Maktoum,layla.almaktoum_242@hotmail.com,Abu Dhabi,Regular,2024-10-20 00:00:00
CUST-000024,Yusuf,Al-Balushi,yusuf.albalushi_684@gmail.com,Abu Dhabi,Regular,2024-09-14 00:00:00
CUST-000025,Ibrahim,Al-Balushi,ibrahim.albalushi_939@outlook.com,Abu Dhabi,Regular,2024-03-09 00:00:00
CUST-000026,Noura,Al-Balushi,noura.albalushi_383@hotmail.com,Sharjah,Regular,2024-10-02 00:00:00
